Design_Codes,Product_urls,Price,Size,Colour,Pasting,Catalogue_name,Design_description,Product_image,Product_detail
25313,product-details-page.php?pid=25313,8410,0.54 mtrs. x 10 mtrs. = 5.4 sq. mtrs. (58) = 1 Roll,"Blue, Beige",Paste the Wall,LIVING,Florals:,https://www.marshallsonline.in/smallItemImages/25313.jpg?id=8,"Technical Features :Energy Saving and Thermal Insulating, One Year WarrantyDisclaimer :Product colour may slightly vary due to phtographic lightning        sources, angle of view and / or your monitor settings.          Quality :These Wallpapers are of a High Quality, Moisture Resistant, Durable        and Long lasting.Take Note :(a) Read installation steps on the rear side of the Roll Label.        (b) If buying multiple rolls of the same design & shade, Lot        number should be same."
25320,product-details-page.php?pid=25320,8410,0.54 mtrs. x 10 mtrs. = 5.4 sq. mtrs. (58) = 1 Roll,"Black, Grey, Ivory",Paste the Wall,LIVING,Florals:,https://www.marshallsonline.in/smallItemImages/25320.jpg?id=8,"Technical Features :Energy Saving and Thermal Insulating, One Year WarrantyDisclaimer :Product colour may slightly vary due to phtographic lightning        sources, angle of view and / or your monitor settings.          Quality :These Wallpapers are of a High Quality, Moisture Resistant, Durable        and Long lasting.Take Note :(a) Read installation steps on the rear side of the Roll Label.        (b) If buying multiple rolls of the same design & shade, Lot        number should be same."
25321,product-details-page.php?pid=25321,8410,0.54 mtrs. x 10 mtrs. = 5.4 sq. mtrs. (58) = 1 Roll,Beige,Paste the Wall,LIVING,Florals:,https://www.marshallsonline.in/smallItemImages/25321.jpg?id=8,"Technical Features :Energy Saving and Thermal Insulating, One Year WarrantyDisclaimer :Product colour may slightly vary due to phtographic lightning        sources, angle of view and / or your monitor settings.          Quality :These Wallpapers are of a High Quality, Moisture Resistant, Durable        and Long lasting.Take Note :(a) Read installation steps on the rear side of the Roll Label.        (b) If buying multiple rolls of the same design & shade, Lot        number should be same."
25322,product-details-page.php?pid=25322,8410,0.54 mtrs. x 10 mtrs. = 5.4 sq. mtrs. (58) = 1 Roll,Black,Paste the Wall,LIVING,Florals:,https://www.marshallsonline.in/smallItemImages/25322.jpg?id=8,"Technical Features :Energy Saving and Thermal Insulating, One Year WarrantyDisclaimer :Product colour may slightly vary due to phtographic lightning        sources, angle of view and / or your monitor settings.          Quality :These Wallpapers are of a High Quality, Moisture Resistant, Durable        and Long lasting.Take Note :(a) Read installation steps on the rear side of the Roll Label.        (b) If buying multiple rolls of the same design & shade, Lot        number should be same."
25330,product-details-page.php?pid=25330,8410,0.54 mtrs. x 10 mtrs. = 5.4 sq. mtrs. (58) = 1 Roll,"Grey, Mushroom",Paste the Wall,LIVING,Geometric:,https://www.marshallsonline.in/smallItemImages/25330.jpg?id=8,"Technical Features :Energy Saving and Thermal Insulating, One Year WarrantyDisclaimer :Product colour may slightly vary due to phtographic lightning        sources, angle of view and / or your monitor settings.          Quality :These Wallpapers are of a High Quality, Moisture Resistant, Durable        and Long lasting.Take Note :(a) Read installation steps on the rear side of the Roll Label.        (b) If buying multiple rolls of the same design & shade, Lot        number should be same."
25331,product-details-page.php?pid=25331,8410,0.54 mtrs. x 10 mtrs. = 5.4 sq. mtrs. (58) = 1 Roll,"Off White, Ivory",Paste the Wall,LIVING,Geometric:,https://www.marshallsonline.in/smallItemImages/25331.jpg?id=8,"Technical Features :Energy Saving and Thermal Insulating, One Year WarrantyDisclaimer :Product colour may slightly vary due to phtographic lightning        sources, angle of view and / or your monitor settings.          Quality :These Wallpapers are of a High Quality, Moisture Resistant, Durable        and Long lasting.Take Note :(a) Read installation steps on the rear side of the Roll Label.        (b) If buying multiple rolls of the same design & shade, Lot        number should be same."
25332,product-details-page.php?pid=25332,8410,0.54 mtrs. x 10 mtrs. = 5.4 sq. mtrs. (58) = 1 Roll,"Black, Gold",Paste the Wall,LIVING,Geometric:,https://www.marshallsonline.in/smallItemImages/25332.jpg?id=8,"Technical Features :Energy Saving and Thermal Insulating, One Year WarrantyDisclaimer :Product colour may slightly vary due to phtographic lightning        sources, angle of view and / or your monitor settings.          Quality :These Wallpapers are of a High Quality, Moisture Resistant, Durable        and Long lasting.Take Note :(a) Read installation steps on the rear side of the Roll Label.        (b) If buying multiple rolls of the same design & shade, Lot        number should be same."
25333,product-details-page.php?pid=25333,8410,0.54 mtrs. x 10 mtrs. = 5.4 sq. mtrs. (58) = 1 Roll,"Yellow, Gold",Paste the Wall,LIVING,Geometric:,https://www.marshallsonline.in/smallItemImages/25333.jpg?id=8,"Technical Features :Energy Saving and Thermal Insulating, One Year WarrantyDisclaimer :Product colour may slightly vary due to phtographic lightning        sources, angle of view and / or your monitor settings.          Quality :These Wallpapers are of a High Quality, Moisture Resistant, Durable        and Long lasting.Take Note :(a) Read installation steps on the rear side of the Roll Label.        (b) If buying multiple rolls of the same design & shade, Lot        number should be same."
25334,product-details-page.php?pid=25334,8410,0.54 mtrs. x 10 mtrs. = 5.4 sq. mtrs. (58) = 1 Roll,Blue,Paste the Wall,LIVING,Geometric:,https://www.marshallsonline.in/smallItemImages/25334.jpg?id=8,"Technical Features :Energy Saving and Thermal Insulating, One Year WarrantyDisclaimer :Product colour may slightly vary due to phtographic lightning        sources, angle of view and / or your monitor settings.          Quality :These Wallpapers are of a High Quality, Moisture Resistant, Durable        and Long lasting.Take Note :(a) Read installation steps on the rear side of the Roll Label.        (b) If buying multiple rolls of the same design & shade, Lot        number should be same."
25340,product-details-page.php?pid=25340,8410,0.54 mtrs. x 10 mtrs. = 5.4 sq. mtrs. (58) = 1 Roll,Grey,Paste the Wall,LIVING,Plain Textures:,https://www.marshallsonline.in/smallItemImages/25340.jpg?id=8,"Technical Features :Energy Saving and Thermal Insulating, One Year WarrantyDisclaimer :Product colour may slightly vary due to phtographic lightning        sources, angle of view and / or your monitor settings.          Quality :These Wallpapers are of a High Quality, Moisture Resistant, Durable        and Long lasting.Take Note :(a) Read installation steps on the rear side of the Roll Label.        (b) If buying multiple rolls of the same design & shade, Lot        number should be same."
